date,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,id
2023-09-28,20.7,192.5550781879,430.566244241,3384067
2023-09-28,25.4,22.1082810359,49.435619262,3581506
2023-09-28,22.14,99.2098919421,221.8400624229,3608565
2023-09-28,26.6,12.7219878539,28.4472296503,3648878
2023-09-28,25.0,26.58,59.4346868419,3690061
2023-09-28,21.48,134.4481951604,300.6353038309,3704268
2023-09-28,26.4,13.9493822934,31.1917670523,3729139
2023-09-28,24.2,38.4197891064,85.9092601232,3827305
2023-09-28,28.4,5.5533491158,12.4176661257,3843919
2023-09-28,24.0,42.1264610556,94.1976305719,3878570
2023-09-28,22.37,89.2390578658,199.5445996359,54051126
2023-09-28,22.79,73.545308935,164.452310205,54088800
2023-09-28,24.73,30.0992016548,67.3038609686,54200438
2023-09-28,22.26,93.8760865307,209.9133109443,54322888
2023-09-29,21.19,153.6579294004,343.5895754212,2164207
2023-09-29,21.48,134.4481951604,300.6353038309,2504800
2023-09-29,19.49,336.1669211578,751.6920874957,3401428
2023-09-29,22.5,84.0533402073,187.9489824394,3748455
2023-09-29,21.79,116.5614594686,260.6393469284,3773752
2023-09-29,25.66,19.6134944368,43.8571068371,3799312
2023-09-29,26.2,15.2951935344,34.201092472,3841981
2023-09-29,25.5,21.113244479,47.2106498806,54279935
2023-09-29,24.63,31.5177333263,70.4757942143,54312819
2023-09-29,26.01,16.6937911773,37.3284518745,54351260
2023-09-29,25.94,17.2407032437,38.5513844328,54359846
2023-09-26,19.41,348.7827331593,779.9019007224,2329437
2023-09-26,22.5,84.0533402073,187.9489824394,3177195
2023-09-26,23.2,60.8912622106,136.1570015386,3459484
2023-09-26,21.65,124.3240005541,277.9969164738,3670290
2023-09-26,24.26,37.3727431914,83.5679942816,3843427
2023-09-26,26.22,15.1549663572,33.8875349715,3869336
2023-09-26,23.75,47.2666667188,105.6914798531,54054314
2023-09-26,22.48,84.8310761886,189.6880529621,2612760
2023-09-27,20.97,170.0415192713,380.2243960879,2480820
2023-09-27,22.6,80.2703167283,179.4898847799,3484839
2023-09-27,20.7,192.5550781879,430.566244241,3558387
2023-09-27,24.6,31.9561886721,71.4562101727,3591891
2023-09-27,26.0,16.7708462163,37.5007521798,3689018
2023-09-27,26.2,15.2951935344,34.201092472,3692287
2023-09-27,25.0,26.58,59.4346868419,3831470
2023-09-27,26.0,16.7708462163,37.5007521798,3905993
2023-09-27,28.6,5.0647145883,11.3250461062,3986698
2023-09-27,27.42,8.7207728909,19.5002410005,54147132
2023-09-27,30.24,2.3798795468,5.321572445,54191335
2023-09-27,23.21,60.6114922738,135.5314169419,54200468
2023-09-27,25.0,26.58,59.4346868419,54353142
2023-09-27,27.98,6.7383718999,15.0674576258,54354399
2023-09-27,23.044,65.4266940877,146.2985355232,54376264
2023-09-24,20.83,181.3656249029,405.5458660645,2350751
2023-09-24,26.9,11.0803882126,24.7765012606,3669052
2023-09-24,29.1,4.0230457983,8.9958038817,3797715
2023-09-24,17.84,718.7121331801,1607.0891860447,3837650
2023-09-24,26.02,16.617090174,37.1569432173,3840866
2023-09-24,24.8,29.1443904535,65.1688382168,54016203
2023-09-24,18.63,499.5224099063,1116.966064835,54051329
2023-09-24,24.7,30.5179232594,68.2401509401,54054667
2023-09-24,26.95,10.828167784,24.2125192369,54351349
2023-09-24,26.19,15.36579294,34.3589575421,54353139
2023-09-25,25.6,20.1629919443,45.0858206172,3574830
2023-09-25,21.16,155.7955241278,348.36938254,3645088
2023-09-25,28.3,5.8150703965,13.0028927004,3714590
2023-09-25,25.2,24.2412481101,54.2050786336,3738971
2023-09-25,24.4,35.0392641108,78.3501764334,3767316
2023-09-25,25.5,21.113244479,47.2106498806,54006054
2023-09-25,25.65,19.7040262138,44.0595420444,54329155
2023-09-25,23.56,51.5887466264,115.3559443307,54329628
2023-10-01,16.49,1338.3046181583,2992.5401008038,2137084
2023-10-01,19.45,342.41673084,765.6670867916,2252399
2023-10-01,22.82,72.536229467,162.1959399198,3342645
2023-10-01,21.31,145.3968429372,325.1172245215,3451020
2023-10-01,20.65,197.0402621378,440.5954204445,3606252
2023-10-01,24.7,30.5179232594,68.2401509401,3740047
2023-10-01,23.8,46.1907460282,103.2856480504,3888755
2023-10-01,23.22,60.3330077631,134.9087066453,54016425
2023-10-01,24.3,36.6906137531,82.0427064882,54016634
2023-10-01,28.85,4.5139316282,10.0934579665,54217963
2023-10-01,26.26,14.8783570477,33.2690177523,54244779
2023-10-01,25.14,24.9203981441,55.7237042765,54304629
2023-09-30,18.33,573.5284639528,1282.4486324295,2162421
2023-09-30,17.06,1029.3308202017,2301.6536853065,2418929
2023-09-30,20.15,248.0589931518,554.6767711177,2516155
2023-09-30,22.12,100.1278697699,223.8927232478,3433064
2023-09-30,23.3,58.1507039646,130.0289270043,3471589
2023-09-30,24.98,26.8259417119,59.9846292283,3596035
2023-09-30,25.6,20.1629919443,45.0858206172,3653047
2023-09-30,19.95,271.9912773482,608.1909854376,3721879
2023-09-30,22.14,99.2098919421,221.8400624229,3728898
2023-09-30,23.8,46.1907460282,103.2856480504,3761646
2023-09-30,23.91,43.9091445969,98.1838321526,3762122
2023-09-30,23.1,63.7609789875,142.5738833281,3801988
2023-09-30,24.1,40.2304579834,89.9580388169,3826650
2023-09-30,21.83,114.4339730687,255.882142717,3843536
2023-09-30,23.3,58.1507039646,130.0289270043,3989291
2023-09-30,21.32,144.7288051255,323.623446563,54051300
2023-09-30,27.8,7.3207398935,16.3696720474,54115824
2023-09-30,24.19,38.5971267955,86.3057992509,54336908
